run,type,module,name,attrname,attrvalue,value
General-11-20200127-16:41:07-22192,runattr,,,configname,General,
General-11-20200127-16:41:07-22192,runattr,,,datetime,20200127-16:41:07,
General-11-20200127-16:41:07-22192,runattr,,,experiment,General,
General-11-20200127-16:41:07-22192,runattr,,,inifile,omnetpp.ini,
General-11-20200127-16:41:07-22192,runattr,,,iterationvars,,
General-11-20200127-16:41:07-22192,runattr,,,iterationvarsf,,
General-11-20200127-16:41:07-22192,runattr,,,measurement,,
General-11-20200127-16:41:07-22192,runattr,,,network,CellularNetwork,
General-11-20200127-16:41:07-22192,runattr,,,processid,22192,
General-11-20200127-16:41:07-22192,runattr,,,repetition,11,
General-11-20200127-16:41:07-22192,runattr,,,replication,#11,
General-11-20200127-16:41:07-22192,runattr,,,resultdir,results,
General-11-20200127-16:41:07-22192,runattr,,,runnumber,11,
General-11-20200127-16:41:07-22192,runattr,,,seedset,11,
General-11-20200127-16:41:07-22192,param,,,**.nUsers,10,
General-11-20200127-16:41:07-22192,param,,,**.antenna.timeslot,1ms,
General-11-20200127-16:41:07-22192,param,,,**.antenna.lambda,2ms,
General-11-20200127-16:41:07-22192,param,,,**.antenna.successProbGroup1,0.2,
General-11-20200127-16:41:07-22192,param,,,**.antenna.successProbGroup2,0.5,
General-11-20200127-16:41:07-22192,param,,,**.antenna.successProbGroup3,0.9,
General-11-20200127-16:41:07-22192,param,,,**.antenna.isBinomial,true,
General-22-20200127-16:42:16-14528,runattr,,,configname,General,
General-22-20200127-16:42:16-14528,runattr,,,datetime,20200127-16:42:16,
General-22-20200127-16:42:16-14528,runattr,,,experiment,General,
General-22-20200127-16:42:16-14528,runattr,,,inifile,omnetpp.ini,
General-22-20200127-16:42:16-14528,runattr,,,iterationvars,,
General-22-20200127-16:42:16-14528,runattr,,,iterationvarsf,,
General-22-20200127-16:42:16-14528,runattr,,,measurement,,
General-22-20200127-16:42:16-14528,runattr,,,network,CellularNetwork,
General-22-20200127-16:42:16-14528,runattr,,,processid,14528,
General-22-20200127-16:42:16-14528,runattr,,,repetition,22,
General-22-20200127-16:42:16-14528,runattr,,,replication,#22,
General-22-20200127-16:42:16-14528,runattr,,,resultdir,results,
General-22-20200127-16:42:16-14528,runattr,,,runnumber,22,
General-22-20200127-16:42:16-14528,runattr,,,seedset,22,
General-22-20200127-16:42:16-14528,param,,,**.nUsers,10,
General-22-20200127-16:42:16-14528,param,,,**.antenna.timeslot,1ms,
General-22-20200127-16:42:16-14528,param,,,**.antenna.lambda,2ms,
General-22-20200127-16:42:16-14528,param,,,**.antenna.successProbGroup1,0.2,
General-22-20200127-16:42:16-14528,param,,,**.antenna.successProbGroup2,0.5,
General-22-20200127-16:42:16-14528,param,,,**.antenna.successProbGroup3,0.9,
General-22-20200127-16:42:16-14528,param,,,**.antenna.isBinomial,true,
General-21-20200127-16:42:10-6296,runattr,,,configname,General,
General-21-20200127-16:42:10-6296,runattr,,,datetime,20200127-16:42:10,
General-21-20200127-16:42:10-6296,runattr,,,experiment,General,
General-21-20200127-16:42:10-6296,runattr,,,inifile,omnetpp.ini,
General-21-20200127-16:42:10-6296,runattr,,,iterationvars,,
General-21-20200127-16:42:10-6296,runattr,,,iterationvarsf,,
General-21-20200127-16:42:10-6296,runattr,,,measurement,,
General-21-20200127-16:42:10-6296,runattr,,,network,CellularNetwork,
General-21-20200127-16:42:10-6296,runattr,,,processid,6296,
General-21-20200127-16:42:10-6296,runattr,,,repetition,21,
General-21-20200127-16:42:10-6296,runattr,,,replication,#21,
General-21-20200127-16:42:10-6296,runattr,,,resultdir,results,
General-21-20200127-16:42:10-6296,runattr,,,runnumber,21,
General-21-20200127-16:42:10-6296,runattr,,,seedset,21,
General-21-20200127-16:42:10-6296,param,,,**.nUsers,10,
General-21-20200127-16:42:10-6296,param,,,**.antenna.timeslot,1ms,
General-21-20200127-16:42:10-6296,param,,,**.antenna.lambda,2ms,
General-21-20200127-16:42:10-6296,param,,,**.antenna.successProbGroup1,0.2,
General-21-20200127-16:42:10-6296,param,,,**.antenna.successProbGroup2,0.5,
General-21-20200127-16:42:10-6296,param,,,**.antenna.successProbGroup3,0.9,
General-21-20200127-16:42:10-6296,param,,,**.antenna.isBinomial,true,
General-13-20200127-16:41:20-22756,runattr,,,configname,General,
General-13-20200127-16:41:20-22756,runattr,,,datetime,20200127-16:41:20,
General-13-20200127-16:41:20-22756,runattr,,,experiment,General,
