run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-15-20200611-17:03:18-4960,runattr,,,configname,General,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,datetime,20200611-17:03:18,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,experiment,General,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,inifile,omnetpp.ini,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,iterationvars,$0=2ms,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,iterationvarsf,2ms-,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,measurement,$0=2ms,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,network,CellularNetwork,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,processid,4960,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,repetition,15,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,replication,#15,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,resultdir,results,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,runnumber,15,,,,,,,
General-15-20200611-17:03:18-4960,runattr,,,seedset,15,,,,,,,
General-15-20200611-17:03:18-4960,param,,,**.nUsers,10,,,,,,,
General-15-20200611-17:03:18-4960,param,,,**.timeslot,1ms,,,,,,,
General-15-20200611-17:03:18-4960,param,,,**.lambda,2ms,,,,,,,
General-15-20200611-17:03:18-4960,param,,,**.successProbGroup1,0.15,,,,,,,
General-15-20200611-17:03:18-4960,param,,,**.successProbGroup2,0,,,,,,,
General-15-20200611-17:03:18-4960,param,,,**.successProbGroup3,0.85,,,,,,,
General-15-20200611-17:03:18-4960,param,,,**.isBinomial,true,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,configname,General,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,datetime,20200611-17:02:04,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,experiment,General,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,inifile,omnetpp.ini,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,iterationvars,$0=2ms,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,iterationvarsf,2ms-,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,measurement,$0=2ms,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,network,CellularNetwork,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,processid,8812,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,repetition,0,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,replication,#0,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,resultdir,results,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,runnumber,0,,,,,,,
General-0-20200611-17:02:04-8812,runattr,,,seedset,0,,,,,,,
