run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-15-20200609-15:08:15-4036,runattr,,,configname,General,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,datetime,20200609-15:08:15,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,experiment,General,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,inifile,omnetpp.ini,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,iterationvars,$0=2ms,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,iterationvarsf,2ms-,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,measurement,$0=2ms,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,network,CellularNetwork,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,processid,4036,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,repetition,15,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,replication,#15,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,resultdir,results,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,runnumber,15,,,,,,,
General-15-20200609-15:08:15-4036,runattr,,,seedset,15,,,,,,,
General-15-20200609-15:08:15-4036,param,,,**.nUsers,10,,,,,,,
General-15-20200609-15:08:15-4036,param,,,**.timeslot,1ms,,,,,,,
General-15-20200609-15:08:15-4036,param,,,**.lambda,2ms,,,,,,,
General-15-20200609-15:08:15-4036,param,,,**.successProbGroup1,0.2,,,,,,,
General-15-20200609-15:08:15-4036,param,,,**.successProbGroup2,0.5,,,,,,,
General-15-20200609-15:08:15-4036,param,,,**.successProbGroup3,0.8,,,,,,,
General-15-20200609-15:08:15-4036,param,,,**.isBinomial,false,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,configname,General,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,datetime,20200609-15:07:10,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,experiment,General,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,inifile,omnetpp.ini,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,iterationvars,$0=2ms,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,iterationvarsf,2ms-,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,measurement,$0=2ms,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,network,CellularNetwork,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,processid,7064,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,repetition,0,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,replication,#0,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,resultdir,results,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,runnumber,0,,,,,,,
General-0-20200609-15:07:10-7064,runattr,,,seedset,0,,,,,,,
