run,type,module,name,attrname,attrvalue,value
General-21-20200127-18:32:19-10224,runattr,,,configname,General,
General-21-20200127-18:32:19-10224,runattr,,,datetime,20200127-18:32:19,
General-21-20200127-18:32:19-10224,runattr,,,experiment,General,
General-21-20200127-18:32:19-10224,runattr,,,inifile,omnetpp.ini,
General-21-20200127-18:32:19-10224,runattr,,,iterationvars,,
General-21-20200127-18:32:19-10224,runattr,,,iterationvarsf,,
General-21-20200127-18:32:19-10224,runattr,,,measurement,,
General-21-20200127-18:32:19-10224,runattr,,,network,CellularNetwork,
General-21-20200127-18:32:19-10224,runattr,,,processid,10224,
General-21-20200127-18:32:19-10224,runattr,,,repetition,21,
General-21-20200127-18:32:19-10224,runattr,,,replication,#21,
General-21-20200127-18:32:19-10224,runattr,,,resultdir,results,
General-21-20200127-18:32:19-10224,runattr,,,runnumber,21,
General-21-20200127-18:32:19-10224,runattr,,,seedset,21,
General-21-20200127-18:32:19-10224,param,,,**.nUsers,10,
General-21-20200127-18:32:19-10224,param,,,**.antenna.timeslot,1ms,
General-21-20200127-18:32:19-10224,param,,,**.antenna.lambda,5ms,
General-21-20200127-18:32:19-10224,param,,,**.antenna.successProbGroup1,0.2,
General-21-20200127-18:32:19-10224,param,,,**.antenna.successProbGroup2,0.5,
General-21-20200127-18:32:19-10224,param,,,**.antenna.successProbGroup3,0.9,
General-21-20200127-18:32:19-10224,param,,,**.antenna.isBinomial,false,
General-1-20200127-18:30:06-856,runattr,,,configname,General,
General-1-20200127-18:30:06-856,runattr,,,datetime,20200127-18:30:06,
General-1-20200127-18:30:06-856,runattr,,,experiment,General,
General-1-20200127-18:30:06-856,runattr,,,inifile,omnetpp.ini,
General-1-20200127-18:30:06-856,runattr,,,iterationvars,,
General-1-20200127-18:30:06-856,runattr,,,iterationvarsf,,
General-1-20200127-18:30:06-856,runattr,,,measurement,,
General-1-20200127-18:30:06-856,runattr,,,network,CellularNetwork,
General-1-20200127-18:30:06-856,runattr,,,processid,856,
General-1-20200127-18:30:06-856,runattr,,,repetition,1,
General-1-20200127-18:30:06-856,runattr,,,replication,#1,
General-1-20200127-18:30:06-856,runattr,,,resultdir,results,
General-1-20200127-18:30:06-856,runattr,,,runnumber,1,
General-1-20200127-18:30:06-856,runattr,,,seedset,1,
General-1-20200127-18:30:06-856,param,,,**.nUsers,10,
General-1-20200127-18:30:06-856,param,,,**.antenna.timeslot,1ms,
General-1-20200127-18:30:06-856,param,,,**.antenna.lambda,5ms,
General-1-20200127-18:30:06-856,param,,,**.antenna.successProbGroup1,0.2,
General-1-20200127-18:30:06-856,param,,,**.antenna.successProbGroup2,0.5,
General-1-20200127-18:30:06-856,param,,,**.antenna.successProbGroup3,0.9,
General-1-20200127-18:30:06-856,param,,,**.antenna.isBinomial,false,
General-0-20200127-18:30:02-22828,runattr,,,configname,General,
General-0-20200127-18:30:02-22828,runattr,,,datetime,20200127-18:30:02,
General-0-20200127-18:30:02-22828,runattr,,,experiment,General,
General-0-20200127-18:30:02-22828,runattr,,,inifile,omnetpp.ini,
General-0-20200127-18:30:02-22828,runattr,,,iterationvars,,
General-0-20200127-18:30:02-22828,runattr,,,iterationvarsf,,
General-0-20200127-18:30:02-22828,runattr,,,measurement,,
General-0-20200127-18:30:02-22828,runattr,,,network,CellularNetwork,
General-0-20200127-18:30:02-22828,runattr,,,processid,22828,
General-0-20200127-18:30:02-22828,runattr,,,repetition,0,
General-0-20200127-18:30:02-22828,runattr,,,replication,#0,
General-0-20200127-18:30:02-22828,runattr,,,resultdir,results,
General-0-20200127-18:30:02-22828,runattr,,,runnumber,0,
General-0-20200127-18:30:02-22828,runattr,,,seedset,0,
General-0-20200127-18:30:02-22828,param,,,**.nUsers,10,
General-0-20200127-18:30:02-22828,param,,,**.antenna.timeslot,1ms,
General-0-20200127-18:30:02-22828,param,,,**.antenna.lambda,5ms,
General-0-20200127-18:30:02-22828,param,,,**.antenna.successProbGroup1,0.2,
General-0-20200127-18:30:02-22828,param,,,**.antenna.successProbGroup2,0.5,
General-0-20200127-18:30:02-22828,param,,,**.antenna.successProbGroup3,0.9,
General-0-20200127-18:30:02-22828,param,,,**.antenna.isBinomial,false,
General-13-20200127-18:31:08-22264,runattr,,,configname,General,
General-13-20200127-18:31:08-22264,runattr,,,datetime,20200127-18:31:08,
General-13-20200127-18:31:08-22264,runattr,,,experiment,General,
General-13-20200127-18:31:08-22264,runattr,,,inifile,omnetpp.ini,
General-13-20200127-18:31:08-22264,runattr,,,iterationvars,,
General-13-20200127-18:31:08-22264,runattr,,,iterationvarsf,,
General-13-20200127-18:31:08-22264,runattr,,,measurement,,
General-13-20200127-18:31:08-22264,runattr,,,network,CellularNetwork,
General-13-20200127-18:31:08-22264,runattr,,,processid,22264,
General-13-20200127-18:31:08-22264,runattr,,,repetition,13,
General-13-20200127-18:31:08-22264,runattr,,,replication,#13,
General-13-20200127-18:31:08-22264,runattr,,,resultdir,results,
General-13-20200127-18:31:08-22264,runattr,,,runnumber,13,
General-13-20200127-18:31:08-22264,runattr,,,seedset,13,
General-13-20200127-18:31:08-22264,param,,,**.nUsers,10,
General-13-20200127-18:31:08-22264,param,,,**.antenna.timeslot,1ms,
General-13-20200127-18:31:08-22264,param,,,**.antenna.lambda,5ms,
General-13-20200127-18:31:08-22264,param,,,**.antenna.successProbGroup1,0.2,
General-13-20200127-18:31:08-22264,param,,,**.antenna.successProbGroup2,0.5,
General-13-20200127-18:31:08-22264,param,,,**.antenna.successProbGroup3,0.9,
General-13-20200127-18:31:08-22264,param,,,**.antenna.isBinomial,false,
General-15-20200127-18:31:30-9140,runattr,,,configname,General,
General-15-20200127-18:31:30-9140,runattr,,,datetime,20200127-18:31:30,
General-15-20200127-18:31:30-9140,runattr,,,experiment,General,
General-15-20200127-18:31:30-9140,runattr,,,inifile,omnetpp.ini,
General-15-20200127-18:31:30-9140,runattr,,,iterationvars,,
General-15-20200127-18:31:30-9140,runattr,,,iterationvarsf,,
General-15-20200127-18:31:30-9140,runattr,,,measurement,,
General-15-20200127-18:31:30-9140,runattr,,,network,CellularNetwork,
General-15-20200127-18:31:30-9140,runattr,,,processid,9140,
