run,type,module,name,attrname,attrvalue,value
General-1-20200224-18:10:00-6360,runattr,,,configname,General,
General-1-20200224-18:10:00-6360,runattr,,,datetime,20200224-18:10:00,
General-1-20200224-18:10:00-6360,runattr,,,experiment,General,
General-1-20200224-18:10:00-6360,runattr,,,inifile,omnetpp.ini,
General-1-20200224-18:10:00-6360,runattr,,,iterationvars,$0=5ms,
General-1-20200224-18:10:00-6360,runattr,,,iterationvarsf,5ms-,
General-1-20200224-18:10:00-6360,runattr,,,measurement,$0=5ms,
General-1-20200224-18:10:00-6360,runattr,,,network,CellularNetwork,
General-1-20200224-18:10:00-6360,runattr,,,processid,6360,
General-1-20200224-18:10:00-6360,runattr,,,repetition,1,
General-1-20200224-18:10:00-6360,runattr,,,replication,#1,
General-1-20200224-18:10:00-6360,runattr,,,resultdir,results,
General-1-20200224-18:10:00-6360,runattr,,,runnumber,1,
General-1-20200224-18:10:00-6360,runattr,,,seedset,1,
General-1-20200224-18:10:00-6360,param,,,**.nUsers,10,
General-1-20200224-18:10:00-6360,param,,,**.antenna.timeslot,1ms,
General-1-20200224-18:10:00-6360,param,,,**.antenna.lambda,5ms,
General-1-20200224-18:10:00-6360,param,,,**.antenna.successProbGroup1,0.125,
General-1-20200224-18:10:00-6360,param,,,**.antenna.successProbGroup2,0.25,
General-1-20200224-18:10:00-6360,param,,,**.antenna.successProbGroup3,0.625,
General-1-20200224-18:10:00-6360,param,,,**.antenna.isBinomial,false,
General-13-20200224-18:10:19-20100,runattr,,,configname,General,
General-13-20200224-18:10:19-20100,runattr,,,datetime,20200224-18:10:19,
General-13-20200224-18:10:19-20100,runattr,,,experiment,General,
General-13-20200224-18:10:19-20100,runattr,,,inifile,omnetpp.ini,
General-13-20200224-18:10:19-20100,runattr,,,iterationvars,$0=5ms,
General-13-20200224-18:10:19-20100,runattr,,,iterationvarsf,5ms-,
General-13-20200224-18:10:19-20100,runattr,,,measurement,$0=5ms,
General-13-20200224-18:10:19-20100,runattr,,,network,CellularNetwork,
General-13-20200224-18:10:19-20100,runattr,,,processid,20100,
General-13-20200224-18:10:19-20100,runattr,,,repetition,13,
General-13-20200224-18:10:19-20100,runattr,,,replication,#13,
General-13-20200224-18:10:19-20100,runattr,,,resultdir,results,
General-13-20200224-18:10:19-20100,runattr,,,runnumber,13,
General-13-20200224-18:10:19-20100,runattr,,,seedset,13,
General-13-20200224-18:10:19-20100,param,,,**.nUsers,10,
General-13-20200224-18:10:19-20100,param,,,**.antenna.timeslot,1ms,
General-13-20200224-18:10:19-20100,param,,,**.antenna.lambda,5ms,
General-13-20200224-18:10:19-20100,param,,,**.antenna.successProbGroup1,0.125,
General-13-20200224-18:10:19-20100,param,,,**.antenna.successProbGroup2,0.25,
General-13-20200224-18:10:19-20100,param,,,**.antenna.successProbGroup3,0.625,
General-13-20200224-18:10:19-20100,param,,,**.antenna.isBinomial,false,
General-15-20200224-18:10:22-1168,runattr,,,configname,General,
General-15-20200224-18:10:22-1168,runattr,,,datetime,20200224-18:10:22,
General-15-20200224-18:10:22-1168,runattr,,,experiment,General,
General-15-20200224-18:10:22-1168,runattr,,,inifile,omnetpp.ini,
General-15-20200224-18:10:22-1168,runattr,,,iterationvars,$0=5ms,
General-15-20200224-18:10:22-1168,runattr,,,iterationvarsf,5ms-,
General-15-20200224-18:10:22-1168,runattr,,,measurement,$0=5ms,
General-15-20200224-18:10:22-1168,runattr,,,network,CellularNetwork,
General-15-20200224-18:10:22-1168,runattr,,,processid,1168,
General-15-20200224-18:10:22-1168,runattr,,,repetition,15,
General-15-20200224-18:10:22-1168,runattr,,,replication,#15,
General-15-20200224-18:10:22-1168,runattr,,,resultdir,results,
General-15-20200224-18:10:22-1168,runattr,,,runnumber,15,
General-15-20200224-18:10:22-1168,runattr,,,seedset,15,
General-15-20200224-18:10:22-1168,param,,,**.nUsers,10,
General-15-20200224-18:10:22-1168,param,,,**.antenna.timeslot,1ms,
General-15-20200224-18:10:22-1168,param,,,**.antenna.lambda,5ms,
General-15-20200224-18:10:22-1168,param,,,**.antenna.successProbGroup1,0.125,
General-15-20200224-18:10:22-1168,param,,,**.antenna.successProbGroup2,0.25,
General-15-20200224-18:10:22-1168,param,,,**.antenna.successProbGroup3,0.625,
